"Category","Unique"
"01/01",6
"01/02",3
"01/03",1
"01/04",2
"01/05",1
"01/06",2
"01/07",1
"01/08",1
"01/09",0
"01/10",2
"01/11",2
"01/12",1
"01/13",1
"01/14",2
