"Category","Total"
"12/22",0
"12/23",0
"12/24",0
"12/25",0
"12/26",0
"12/27",0
"12/28",0
"12/29",394
"12/30",358
"12/31",52
"01/01",111
"01/02",43
"01/03",15
"01/04",19
