"Category","Unique"
"01/01",65
"01/02",27
"01/03",9
"01/04",13
"01/05",7
"01/06",32
"01/07",0
"01/08",7
"01/09",2
"01/10",6
"01/11",2
"01/12",5
"01/13",7
"01/14",10
