"Category","Total"
"01/01",254
"01/02",34
"01/03",23
"01/04",30
"01/05",37
"01/06",37
"01/07",10
"01/08",11
"01/09",0
"01/10",19
"01/11",4
"01/12",3
"01/13",5
"01/14",15
